"metric_cn","day","p_value_num","p_label","visit"
"毛发密度",0,0.7513,"0.7513","T0"
"毛发密度",30,0.5609,"0.5609","T1"
"毛发密度",90,0.0413,"0.0413","T3"
"毛发密度",180,0.05,"0.05","T6"
"毛发直径",0,0.9988,"0.9988","T0"
"毛发直径",30,0.7052,"0.7052","T1"
"毛发直径",90,0.485,"0.485","T3"
"毛发直径",180,0.2915,"0.2915","T6"
"油脂分泌",0,0.9999,"0.9999","T0"
"油脂分泌",30,9e-05,"<0.0001","T1"
"油脂分泌",90,9e-05,"<0.0001","T3"
"油脂分泌",180,0.0024,"0.0024","T6"
"头皮硬度",0,0.8133,"0.8133","T0"
"头皮硬度",30,1e-04,"0.0001","T1"
"头皮硬度",90,9e-05,"<0.0001","T3"
"头皮硬度",180,9e-05,"<0.0001","T6"
"头皮血流",0,0.9994,"0.9994","T0"
"头皮血流",30,9e-05,"<0.0001","T1"
"头皮血流",90,9e-05,"<0.0001","T3"
"头皮血流",180,9e-05,"<0.0001","T6"
