"group","metric_cn","metric_en","day","visit","mean","sem","n"
"PRP+BTX-A","头皮硬度","Scalp stiffness",0,"T0",23.4931575006052,0.891019809165962,38
"PRP+BTX-A","头皮硬度","Scalp stiffness",30,"T1",19.5150110938811,0.517158679335105,38
"PRP+BTX-A","头皮硬度","Scalp stiffness",90,"T3",14.8922167478398,0.793054838456208,38
"PRP+BTX-A","头皮硬度","Scalp stiffness",180,"T6",16.7107403716649,0.764101382906681,38
"PRP+BTX-A","头皮血流","Scalp blood flow",0,"T0",163.708924215282,6.40755714740748,38
"PRP+BTX-A","头皮血流","Scalp blood flow",30,"T1",241.506114748708,6.98840948204495,38
"PRP+BTX-A","头皮血流","Scalp blood flow",90,"T3",309.808389386122,9.52118938499049,38
"PRP+BTX-A","头皮血流","Scalp blood flow",180,"T6",292.495271103037,8.58141181511579,38
"PRP+BTX-A","毛发密度","Hair density",0,"T0",145.187360520738,6.94264976224421,38
"PRP+BTX-A","毛发密度","Hair density",30,"T1",150.512181876237,8.32299329985165,38
"PRP+BTX-A","毛发密度","Hair density",90,"T3",172.307950013107,7.55841223619991,38
"PRP+BTX-A","毛发密度","Hair density",180,"T6",170.704767267927,9.55585903511938,38
"PRP+BTX-A","毛发直径","Hair shaft diameter",0,"T0",56.7792428020874,2.19348632963239,38
"PRP+BTX-A","毛发直径","Hair shaft diameter",30,"T1",58.9049279893199,2.02865795659297,38
"PRP+BTX-A","毛发直径","Hair shaft diameter",90,"T3",65.7911512317896,2.91696039295687,38
"PRP+BTX-A","毛发直径","Hair shaft diameter",180,"T6",66.3205481581344,1.71339458997131,38
"PRP+BTX-A","油脂分泌","Sebum secretion",0,"T0",148.594117341318,2.95160395013251,38
"PRP+BTX-A","油脂分泌","Sebum secretion",30,"T1",95.7052766825377,2.19000151529562,38
"PRP+BTX-A","油脂分泌","Sebum secretion",90,"T3",98.6021136634437,2.53144038715712,38
"PRP+BTX-A","油脂分泌","Sebum secretion",180,"T6",129.799910852308,3.57036054314248,38
"PRP","头皮硬度","Scalp stiffness",0,"T0",23.7889078543524,0.873832697910516,38
"PRP","头皮硬度","Scalp stiffness",30,"T1",23.203414966302,0.728534247058429,38
"PRP","头皮硬度","Scalp stiffness",90,"T3",24.2960498133994,0.7784053951891,38
"PRP","头皮硬度","Scalp stiffness",180,"T6",24.1078962393726,0.845772687763813,38
"PRP","头皮血流","Scalp blood flow",0,"T0",163.699213715796,6.43926352784543,38
"PRP","头皮血流","Scalp blood flow",30,"T1",186.806570574454,6.5703394745521,38
"PRP","头皮血流","Scalp blood flow",90,"T3",192.589824921059,8.14340717963466,38
"PRP","头皮血流","Scalp blood flow",180,"T6",188.498873330278,7.72034694950737,38
"PRP","毛发密度","Hair density",0,"T0",145.205654125942,6.94167752424416,38
"PRP","毛发密度","Hair density",30,"T1",147.80073484451,7.24891195962039,38
"PRP","毛发密度","Hair density",90,"T3",160.813157781371,7.39490954243275,38
"PRP","毛发密度","Hair density",180,"T6",158.279952615841,7.81461357042848,38
"PRP","毛发直径","Hair shaft diameter",0,"T0",56.7995339191682,2.18883368851233,38
"PRP","毛发直径","Hair shaft diameter",30,"T1",57.8024986548316,2.07601653677614,38
"PRP","毛发直径","Hair shaft diameter",90,"T3",63.1853018177808,2.28858875981738,38
"PRP","毛发直径","Hair shaft diameter",180,"T6",62.8104818192837,2.80642766917861,38
"PRP","油脂分泌","Sebum secretion",0,"T0",148.605572110793,2.95194820232766,38
"PRP","油脂分泌","Sebum secretion",30,"T1",140.792992130869,2.74303518287376,38
"PRP","油脂分泌","Sebum secretion",90,"T3",138.700920102942,2.74029214336976,38
"PRP","油脂分泌","Sebum secretion",180,"T6",145.000020684942,3.26016067850654,38
